5.7066 	EXP 	text: text = '+'
5.7066 	EXP 	image: autoDraw = True
5.9842 	EXP 	text: autoDraw = True
6.0058 	EXP 	image: autoDraw = False
6.9847 	EXP 	text: autoDraw = False
6.9961 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'name': 'images/objects/APARKBENC.jpg', 'repeat_status': 'original', 'stim_type': 'object', 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
7.0145 	EXP 	image: autoDraw = False
7.0145 	EXP 	text: autoDraw = False
7.0145 	EXP 	image: image = 'images/objects/APARKBENC.jpg'
7.0145 	EXP 	text: text = '+'
7.0145 	EXP 	image: autoDraw = True
7.2955 	EXP 	text: autoDraw = True
7.3192 	EXP 	image: autoDraw = False
8.3430 	EXP 	text: autoDraw = False
8.3433 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'name': 'images/objects/Acarnivalgame.jpg', 'repeat_status': 'original', 'stim_type': 'object', 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
8.3610 	EXP 	image: autoDraw = False
8.3610 	EXP 	text: autoDraw = False
8.3610 	EXP 	image: image = 'images/objects/Acarnivalgame.jpg'
8.3610 	EXP 	text: text = '+'
8.3610 	EXP 	image: autoDraw = True
8.6413 	EXP 	text: autoDraw = True
8.6624 	EXP 	image: autoDraw = False
9.8276 	EXP 	text: autoDraw = False
9.8387 	EXP 	New trial (rep=0, index=6): <Trial 6 (6 in rep 0) data={'name': 'images/faces/female/Carrie_Underwood.jpg', 'repeat_status': 'original', 'stim_type': 'face', 'thisN': 6, 'thisTrialN': 6, 'thisRepN': 0}>
9.8689 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
9.8689 	EXP 	image: autoDraw = False
9.8689 	EXP 	text: autoDraw = False
9.8689 	EXP 	image: image = 'images/faces/female/Carrie_Underwood.jpg'
9.8689 	EXP 	text: text = '+'
9.8689 	EXP 	image: autoDraw = True
10.1357 	EXP 	text: autoDraw = True
10.1691 	EXP 	image: autoDraw = False
11.2896 	EXP 	text: autoDraw = False
11.3138 	EXP 	New trial (rep=0, index=7): <Trial 7 (7 in rep 0) data={'name': 'images/faces/male/Jamie _Foxx.jpg', 'repeat_status': 'original', 'stim_type': 'face', 'thisN': 7, 'thisTrialN': 7, 'thisRepN': 0}>
11.3446 	EXP 	image: autoDraw = False
11.3446 	EXP 	text: autoDraw = False
11.3446 	EXP 	image: image = 'images/faces/male/Jamie _Foxx.jpg'
11.3446 	EXP 	text: text = '+'
11.3446 	EXP 	image: autoDraw = True
11.6109 	EXP 	text: autoDraw = True
11.6487 	EXP 	image: autoDraw = False
12.3918 	EXP 	text: autoDraw = False
12.4139 	EXP 	New trial (rep=0, index=8): <Trial 8 (8 in rep 0) data={'name': 'images/faces/female/Adele.jpg', 'repeat_status': 'original', 'stim_type': 'face', 'thisN': 8, 'thisTrialN': 8, 'thisRepN': 0}>
12.4638 	EXP 	image: autoDraw = False
12.4638 	EXP 	text: autoDraw = False
12.4638 	EXP 	image: image = 'images/faces/female/Adele.jpg'
12.4638 	EXP 	text: text = '+'
12.4638 	EXP 	image: autoDraw = True
12.7125 	EXP 	text: autoDraw = True
12.7597 	EXP 	image: autoDraw = False
13.9027 	EXP 	text: autoDraw = False
13.9361 	EXP 	New trial (rep=0, index=9): <Trial 9 (9 in rep 0) data={'name': 'images/faces/female/Alice_Walker.jpg', 'repeat_status': 'original', 'stim_type': 'face', 'thisN': 9, 'thisTrialN': 9, 'thisRepN': 0}>
13.9691 	EXP 	image: autoDraw = False
13.9691 	EXP 	text: autoDraw = False
13.9691 	EXP 	image: image = 'images/faces/female/Alice_Walker.jpg'
13.9691 	EXP 	text: text = '+'
13.9691 	EXP 	image: autoDraw = True
14.2412 	EXP 	text: autoDraw = True
14.2647 	EXP 	image: autoDraw = False
15.1000 	EXP 	text: autoDraw = False
15.1123 	EXP 	New trial (rep=0, index=10): <Trial 10 (10 in rep 0) data={'name': 'images/objects/AHEELCUPS.jpg', 'repeat_status': 'original', 'stim_type': 'object', 'thisN': 10, 'thisTrialN': 10, 'thisRepN': 0}>
15.1317 	EXP 	image: autoDraw = False
15.1317 	EXP 	text: autoDraw = False
