name,repeat_status,stim_type,button_resp.rt,button_resp.keys,correct_key,accuracy,trial_type
images/objects/driedprune.jpg,repeat,object,0.5615661250049016,2,2,1.0,hit
images/faces/female/Alicia_Keys.jpg,original,face,,,None,1.0,correct rejection
images/faces/male/David_Guetta.jpg,repeat,face,0.5831508749979548,2,2,1.0,hit
images/faces/male/Benedict_Cumberbatch.jpg,original,face,,,None,1.0,correct rejection
images/objects/clawhairclips.jpg,original,object,,,None,1.0,correct rejection
images/faces/female/Julianne_Moore.jpg,original,face,,,None,1.0,correct rejection
images/objects/Chevypickup.jpg,original,object,,,None,1.0,correct rejection
images/objects/Heatpad.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/Doug_McMillon.jpg,original,face,,,None,1.0,correct rejection
images/faces/male/Connor_McGregor.jpg,original,face,,,None,1.0,correct rejection
images/objects/22883664.thl.jpg,original,object,,,None,1.0,correct rejection
images/faces/female/Rihanna.jpg,original,face,,,None,1.0,correct rejection
images/objects/Aallterrain10.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/Jay_Leno.jpg,original,face,,,None,1.0,correct rejection
images/faces/female/Bethenny_Frankel.jpg,original,face,,,None,1.0,correct rejection
images/objects/8253370.thl.jpg,original,object,,,None,1.0,correct rejection
images/objects/ACURLRIB2.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/Nathan_Chen.jpg,original,face,,,None,1.0,correct rejection
images/faces/male/Jim_Gaffigan.jpg,original,face,,,None,1.0,correct rejection
images/objects/moto.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/Conan_O_Brien.jpg,original,face,,,None,1.0,correct rejection
images/objects/ARATTLE.jpg,original,object,,,None,1.0,correct rejection
images/faces/female/Maggie_Smith.jpg,original,face,,,None,1.0,correct rejection
images/objects/ANWSPAPER.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/Snoop_Dogg.jpg,original,face,,,None,1.0,correct rejection
images/objects/ABACKHOE2.jpg,original,object,,,None,1.0,correct rejection
images/objects/26425370.thl.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/Usher.jpg,original,face,,,None,1.0,correct rejection
images/objects/Atoyball.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/Eminem.jpg,original,face,,,None,1.0,correct rejection
images/faces/male/Billy_Joel.jpg,original,face,,,None,1.0,correct rejection
images/faces/male/John_Legend.jpg,original,face,0.719554541996331,2,None,0.0,false alarm
images/faces/female/Cecily_Strong.jpg,original,face,,,None,1.0,correct rejection
images/faces/male/Michael_Che.jpg,original,face,,,None,1.0,correct rejection
images/faces/female/Heidi_Klum.jpg,original,face,,,None,1.0,correct rejection
images/objects/AALARMSY6.jpg,repeat,object,0.5313442500046222,2,2,1.0,hit
images/objects/8027086.thl.jpg,repeat,object,,,2,0.0,miss
